user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
1.06,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.09,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.13,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.16,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.2,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.24,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.28,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.32,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.36,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.41,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.45,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.5,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
1.55,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,1.8411 GHz,2.1000 GHz,256,6,N_Queens
